guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/india-news/emerald-in-deity-s-crown-goes-missing-telangana-government-orders-probe/story-dVX9GroGgUfIbTTR7ULfeO.html',"b""Emerald in deity's crown goes missing, Telangana govt orders probe""","b'Mon, 06 May 2019 03:33:00 GMT '",b'The temple\xe2\x80\x99s priests initially thought that the stone had fallen off during cleansing of the idol. ',b'https://www.hindustantimes.com/india-news/emerald-in-deity-s-crown-goes-missing-telangana-government-orders-probe/story-dVX9GroGgUfIbTTR7ULfeO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/06/Pictures/_5d388c2c-7010-11e9-9308-6ffbdc5c45a7.png
b'https://www.hindustantimes.com/lok-sabha-elections/kcr-chandrababu-naidu-go-all-out-to-woo-partners-ahead-of-lok-sabha-poll-results/story-30h7iQw3VMMg1FZGRzlsUJ.html',"b'KCR, Chandrababu Naidu go all-out to woo partners ahead of Lok Sabha poll resul...'","b'Mon, 06 May 2019 02:08:06 GMT '","b'While KCR, as the Telangana Rashtra Samithi (TRS) president is popularly called, is hopeful that a federal front of non-Congress and non-BJP parties would emerge as a front-runner for power after the elections, Naidu is going all out in his efforts to bring all the non-BJP parties under one umbrella to form the next government at the Centre.'",b'https://www.hindustantimes.com/lok-sabha-elections/kcr-chandrababu-naidu-go-all-out-to-woo-partners-ahead-of-lok-sabha-poll-results/story-30h7iQw3VMMg1FZGRzlsUJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/06/Pictures/_8a081fd2-7007-11e9-bdc8-80f5902ed91b.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-not-allowed-to-chant-jai-shri-ram-in-bengal-says-pm-modi-mamata-banerjee-hits-back/story-Jtr8k34Y33fngJ3TjTwV3M.html',"b'Lok Sabha elections 2019: Not allowed to chant Jai Shri Ram in Bengal, says PM Modi;...'","b'Mon, 06 May 2019 01:44:14 GMT '","b'None can be forced to chant what Narendra Modi or BJP want, the Bengal\xe2\x80\x89CM said adding that West Bengal\xe2\x80\x99s culture has never been what the saffron party is trying to make it.'",b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-not-allowed-to-chant-jai-shri-ram-in-bengal-says-pm-modi-mamata-banerjee-hits-back/story-Jtr8k34Y33fngJ3TjTwV3M.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/06/Pictures/lok-sabha-polls-pm-modi-in-gwalior_a3ff3e12-7001-11e9-9308-6ffbdc5c45a7.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-if-all-goes-well-i-may-mayawati-s-big-hint-about-being-pm-contender/story-9hW1PecqAFzHZK3vH7PO9L.html',"b""Lok Sabha elections 2019: 'If all goes well, I may...': Mayawati's big hint about...""","b'Mon, 06 May 2019 12:48:40 GMT '","b'Addressing a rally in Ambedkar Nagar in the backdrop of her cut-out in which she is seen standing outside Parliament, Mayawati said that the era of \xe2\x80\x98Namo Namo\xe2\x80\x99 was over and time had come for those who chant \xe2\x80\x98Jai Bhim\xe2\x80\x99.This is the first '",b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-if-all-goes-well-i-may-mayawati-s-big-hint-about-being-pm-contender/story-9hW1PecqAFzHZK3vH7PO9L.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/06/Pictures/_533447ca-6ff7-11e9-bdc8-80f5902ed91b.jpg
b'https://www.hindustantimes.com/india-news/supreme-court-s-in-house-panel-finds-no-substance-in-harassment-allegations-against-chief-justice/story-dPf8q9H0HE9l2bNeHuAV5J.html',"b""Supreme Court's in-house panel finds no substance in harassment allegations against...""","b'Mon, 06 May 2019 12:20:11 GMT '","b'The report said that the committee had found \xe2\x80\x9cno substance in the allegations contained in the complaint\xe2\x80\x9d, the committee said.'",b'https://www.hindustantimes.com/india-news/supreme-court-s-in-house-panel-finds-no-substance-in-harassment-allegations-against-chief-justice/story-dPf8q9H0HE9l2bNeHuAV5J.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/06/Pictures/justice-book-release_73e49ac8-6ff3-11e9-bdc8-80f5902ed91b.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/didn-t-want-to-share-dais-with-expiry-pm-mamata-banerjee-attacks-modi/story-R9gwHRG02eDGDn0gZA4VJK.html',"b""'Didn't want to share dais with expiry PM': Mamata Banerjee attacks Modi""","b'Mon, 06 May 2019 11:23:32 GMT '","b'While addressing a rally, Mamata Banerjee said that she did not want to share the dais with the PM.'",b'https://www.hindustantimes.com/lok-sabha-elections/didn-t-want-to-share-dais-with-expiry-pm-mamata-banerjee-attacks-modi/story-R9gwHRG02eDGDn0gZA4VJK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/06/Pictures/election-mamata-trinamool-congress-suprimo-banerjee-minister_c8638e9e-6fe2-11e9-9308-6ffbdc5c45a7.jpg
b'https://www.hindustantimes.com/cricket/icc-world-cup-2019-sunil-gavaskar-picks-his-favourite-to-win-the-tournament/story-VlyzqCMrMdO7s9GuEgH1ZI.html',b'ICC World Cup 2019: Sunil Gavaskar picks his favourite to win the tournament',"b'Mon, 06 May 2019 06:42:27 GMT '","b'Sunil Gavaskar picked England, Australia, West Indies and India as the four semi-finalists of the upcoming ICC World Cup 2019 in England.'",b'https://www.hindustantimes.com/cricket/icc-world-cup-2019-sunil-gavaskar-picks-his-favourite-to-win-the-tournament/story-VlyzqCMrMdO7s9GuEgH1ZI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/06/Pictures/champions-cricketer-birmingham-edgbaston-performs-pakistan-television_5c6af312-6fc9-11e9-bdc8-80f5902ed91b.jpg
b'https://www.hindustantimes.com/analysis/tata-and-jet-airways-what-goes-around-comes-around/story-PWM1oTRdxkOF1vzSayxQAJ.html',b'Opinion | Tata and Jet Airways: What goes around comes around',"b'Mon, 06 May 2019 02:22:34 GMT '","b'As Jet goes through its jet throes, and Naresh Goyal licks his wounds in obscurity, their single biggest hope has been the Tata Group'",b'https://www.hindustantimes.com/analysis/tata-and-jet-airways-what-goes-around-comes-around/story-PWM1oTRdxkOF1vzSayxQAJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/03/Pictures/jet-airways_b53fbbc0-6d72-11e9-be3c-d387070551cb.jpg
b'https://www.hindustantimes.com/editorials/the-election-commission-cannot-be-so-selective/story-nfifbTJjk4hHaNzyJlY2yL.html',b'The Election Commission cannot be so selective',"b'Sun, 05 May 2019 03:32:05 GMT '",b'The Election Commission must strictly enforce the rules of the game and ensure a level playing field',b'https://www.hindustantimes.com/editorials/the-election-commission-cannot-be-so-selective/story-nfifbTJjk4hHaNzyJlY2yL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/03/Pictures/people-building-delhi-office-election-commission-india_c5b4d92a-6dce-11e9-be3c-d387070551cb.jpg
b'https://www.hindustantimes.com/analysis/i-believe-connectivity-is-the-key-to-addressing-the-india-china-trade-deficit/story-B0oUzoeQOpLRlya56n3ZXP.html',b'I believe connectivity is the key to addressing the India-China trade deficit',"b'Sun, 05 May 2019 03:29:03 GMT '",b'The main theme of the BRI is to achieve win-win cooperation. We expect India to be part of the initiative',b'https://www.hindustantimes.com/analysis/i-believe-connectivity-is-the-key-to-addressing-the-india-china-trade-deficit/story-B0oUzoeQOpLRlya56n3ZXP.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/05/04/Pictures/pm-modi-in-china_d56a49ae-4f48-11e8-a9dc-143d85bacf22.jpg
